Year,Observed,ARIMA_Forecast,Continent,Prophet_Forecast
1970,,,Asia,-0.004503236553169193
1970,,,Europe,0.10996004120569805
1970,,,North America,0.021253011395318072
1970,,,Oceania,0.014462640833531683
1970,,,South America,0.008618324908647536
1971,,,Africa,0.08318346692192692
1971,,,Antarctica,-0.09100355499831231
1971,,,Asia,0.002780819941335962
1971,,,Europe,0.11502947748125293
1971,,,North America,0.028866008654496973
1971,,,Oceania,0.018840660406399107
1971,,,South America,0.015551171517763779
1972,,,Africa,0.0826441867487921
1972,,,Antarctica,-0.07593647329659525
1972,,,Asia,0.010064876435841117
1972,,,Europe,0.12009891375680776
1972,,,North America,0.036479005913675804
1972,,,Oceania,0.023218679979266535
1972,,,South America,0.022484018126880022
1973,,,Africa,0.08210342909573091
1973,,,Antarctica,-0.060828111918983165
1973,,,Asia,0.017368889249509346
1973,,,Europe,0.12518223889887103
1973,,,North America,0.044112860699592124
1973,,,Oceania,0.02760869412630624
1973,,,South America,0.029435858836295178
1974,,,Africa,0.0815641489225961
1974,,,Antarctica,-0.0457610302172661
1974,,,Asia,0.024652945744014502
1974,,,Europe,0.1302516751744259
1974,,,North America,0.05172585795877096
1974,,,Oceania,0.0319867136991736
1974,,,South America,0.036368705445411424
1975,,,Africa,0.0810248687494613
1975,,,Antarctica,-0.03069394851554919
1975,,,Asia,0.031937002238519654
1975,,,Europe,0.13532111144998074
1975,,,North America,0.05933885521794979
1975,,,Oceania,0.036364733272041025
1975,,,South America,0.04330155205452759
1976,,,Africa,0.0804855885763265
1976,,,Antarctica,-0.015626866813832126
1976,,,Asia,0.03922105873302481
1976,,,Europe,0.14039054772553566
1976,,,North America,0.06695185247712869
1976,,,Oceania,0.04074275284490852
1976,,,South America,0.05023439866364391
1977,,,Africa,0.07994483092326529
1977,,,Antarctica,-0.0005185054362200431
1977,,,Asia,0.04652507154669297
1977,,,Europe,0.14547387286759883
1977,,,North America,0.07458570726304502
1977,,,Oceania,0.04513276699194816
1977,,,South America,0.057186239373058986
1978,,,Africa,0.07940555075013048
1978,,,Antarctica,0.014548576265497019
1978,,,Asia,0.053809128041198195
1978,,,Europe,0.15054330914315375
1978,,,North America,0.08219870452222391
1978,,,Oceania,0.049510786564815584
1978,,,South America,0.0641190859821753
1979,,,Africa,0.07886627057699568
1979,,,Antarctica,0.029615657967214083
1979,,,Asia,0.06109318453570335
1979,,,Europe,0.1556127454187086
1979,,,North America,0.08981170178140274
1979,,,Oceania,0.053888806137683015
1979,,,South America,0.07105193259129147
1980,,,Africa,0.07832699040386087
1980,,,Africa,0.07778771023072605
1980,,,Antarctica,0.04468273966893099
1980,,,Antarctica,0.059749821370648055
1980,,,Asia,0.06837724103020851
